repo,pr,strategy,review,commits,review_comments,time
pytorch/pytorch,178851,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '997cd76779a0de1450745fcca51385d490b46d06', 'message': 'Set mimalloc purge delay to 0 to reduce ram overhead'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178851](https://hud.pytorch.org/pr/178851)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178851/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178851/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :warning: 4 Awaiting Approval\nAs of commit 997cd76779a0de1450745fcca51385d490b46d06 with merge base 571aaf556c5cddde2c57872777fe1b944234c123 (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774928925?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n<details open><summary><b>AWAITING APPROVAL</b> - The following workflows need approval before CI can run:</summary><p>\n\n* [Auto Request Review](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225506) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225506))\n* [BC Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225493) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225493))\n* [Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225572) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225572))\n* [pull](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225595) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225595))\n</p></details>\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->', '@pytorchbot label ""topic: not user facing""', '@pytorchbot label ""module: arm""', '@pytorchbot label ""module: cuda""', ""❌ 🤖 pytorchbot command failed: \n```\n@pytorchbot: error: argument command: invalid choice: 'module: cuda' (choose from 'merge', 'revert', 'rebase', 'label', 'drci', 'lint', 'fix-lint', 'apply-lint', 'cherry-pick')\n\nusage: @pytorchbot [-h]\n                   \n                   {merge,revert,rebase,label,drci,lint,fix-lint,apply-lint,cherry-pick}\n                   ...\n```\nTry `@pytorchbot --help` for more info."", '@pytorchbot label ""module: cuda""']",2026-03-31 13:32:38
pytorch/pytorch,178851,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '997cd76779a0de1450745fcca51385d490b46d06', 'message': 'Set mimalloc purge delay to 0 to reduce ram overhead'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178851](https://hud.pytorch.org/pr/178851)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178851/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178851/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :warning: 4 Awaiting Approval\nAs of commit 997cd76779a0de1450745fcca51385d490b46d06 with merge base 571aaf556c5cddde2c57872777fe1b944234c123 (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774928925?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n<details open><summary><b>AWAITING APPROVAL</b> - The following workflows need approval before CI can run:</summary><p>\n\n* [Auto Request Review](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225506) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225506))\n* [BC Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225493) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225493))\n* [Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225572) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225572))\n* [pull](https://hud.pytorch.org/pr/pytorch/pytorch/178851#23781225595) ([gh](https://github.com/pytorch/pytorch/actions/runs/23781225595))\n</p></details>\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->', '@pytorchbot label ""topic: not user facing""', '@pytorchbot label ""module: arm""', '@pytorchbot label ""module: cuda""', ""❌ 🤖 pytorchbot command failed: \n```\n@pytorchbot: error: argument command: invalid choice: 'module: cuda' (choose from 'merge', 'revert', 'rebase', 'label', 'drci', 'lint', 'fix-lint', 'apply-lint', 'cherry-pick')\n\nusage: @pytorchbot [-h]\n                   \n                   {merge,revert,rebase,label,drci,lint,fix-lint,apply-lint,cherry-pick}\n                   ...\n```\nTry `@pytorchbot --help` for more info."", '@pytorchbot label ""module: cuda""']",2026-03-31 13:32:40
pytorch/pytorch,178850,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'f2de7d1f43ba4bdbf3e00ad6a68ee5840042ba81', 'message': 'Update\n\n[ghstack-poisoned]'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178850](https://hud.pytorch.org/pr/178850)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178850/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178850/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :hourglass_flowing_sand: No Failures, 10 Pending\nAs of commit f2de7d1f43ba4bdbf3e00ad6a68ee5840042ba81 with merge base 9fddb1a071258c4379a88561557205ba5524e2db (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774844302?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->']",2026-03-31 13:32:44
pytorch/pytorch,178850,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'f2de7d1f43ba4bdbf3e00ad6a68ee5840042ba81', 'message': 'Update\n\n[ghstack-poisoned]'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178850](https://hud.pytorch.org/pr/178850)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178850/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178850/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :hourglass_flowing_sand: No Failures, 10 Pending\nAs of commit f2de7d1f43ba4bdbf3e00ad6a68ee5840042ba81 with merge base 9fddb1a071258c4379a88561557205ba5524e2db (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774844302?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->']",2026-03-31 13:32:46
pytorch/pytorch,178849,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '4b00b7a17e539f0df0f2d3f18b3b183d0f98e624', 'message': ""define xfails for xpu in op_db for the test classes of test_ops.py, as they are the same xfail as 'cuda' or other devices, use device list like ('cuda', 'xpu') in DecorateInfo device_type.\n\n[ghstack-poisoned]""}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178849](https://hud.pytorch.org/pr/178849)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178849/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178849/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :white_check_mark: No Failures\nAs of commit 4b00b7a17e539f0df0f2d3f18b3b183d0f98e624 with merge base 29094e41093c8e923b6583b3d613ad876c0480bc (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1773387638?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->']",2026-03-31 13:32:51
pytorch/pytorch,178849,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': '4b00b7a17e539f0df0f2d3f18b3b183d0f98e624', 'message': ""define xfails for xpu in op_db for the test classes of test_ops.py, as they are the same xfail as 'cuda' or other devices, use device list like ('cuda', 'xpu') in DecorateInfo device_type.\n\n[ghstack-poisoned]""}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178849](https://hud.pytorch.org/pr/178849)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178849/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178849/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :white_check_mark: No Failures\nAs of commit 4b00b7a17e539f0df0f2d3f18b3b183d0f98e624 with merge base 29094e41093c8e923b6583b3d613ad876c0480bc (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1773387638?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->']",2026-03-31 13:32:53
pytorch/pytorch,178848,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'fe01c0382b30877c9867bd78c05be87a68fc1526', 'message': ""define xfails for xpu in op_db for the test classes of test_ops.py, as they are the same xfail as 'cuda' or other devices, use device list like ('cuda', 'xpu') in DecorateInfo device_type.\n\n[ghstack-poisoned]""}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178848](https://hud.pytorch.org/pr/178848)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178848/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178848/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :hourglass_flowing_sand: No Failures, 67 Pending\nAs of commit fe01c0382b30877c9867bd78c05be87a68fc1526 with merge base 29094e41093c8e923b6583b3d613ad876c0480bc (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1773387638?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->']",2026-03-31 13:32:58
pytorch/pytorch,178848,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'fe01c0382b30877c9867bd78c05be87a68fc1526', 'message': ""define xfails for xpu in op_db for the test classes of test_ops.py, as they are the same xfail as 'cuda' or other devices, use device list like ('cuda', 'xpu') in DecorateInfo device_type.\n\n[ghstack-poisoned]""}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178848](https://hud.pytorch.org/pr/178848)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178848/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178848/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :hourglass_flowing_sand: No Failures, 67 Pending\nAs of commit fe01c0382b30877c9867bd78c05be87a68fc1526 with merge base 29094e41093c8e923b6583b3d613ad876c0480bc (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1773387638?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n:green_heart: Looks good so far! There are no failures yet. :green_heart:\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->']",2026-03-31 13:33:00
pytorch/pytorch,178847,baseline,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'd8e2ed109173b770b386a9aed1e73f328f35ae6c', 'message': 'inductor: fix cpp_wrapper backward failing with CudaKernelParamCache assertion\n\nWhen torch.compile(options={""cpp_wrapper"": True}) is used with training,\nbackward graphs are compiled lazily after compile_fx() returns.  By that\ntime the config.patch({""cpp_wrapper"": True}) context applied in compile_fx\nhas already exited, so compile_fx_backward skips get_cpp_wrapper_config()\nand leaves store_cubin=False.  With store_cubin=False the cubin is never\nwritten to CudaKernelParamCache, and DeferredTritonCallWrapper.generate()\nthen hits:\n\n    AssertionError: CudaKernelParamCache not populated for\n    triton_poi_fused_native_layer_norm_native_layer_norm_backward_1\n\nFix: apply get_cpp_wrapper_config() inside compile_fx_inner whenever the\ncpp_wrapper kwarg is True.  This guarantees store_cubin=True and\nautotune_at_compile_time are set for every cpp_wrapper compile regardless\nof whether it runs eagerly (inside compile_fx\'s context) or lazily (after\nit exits).  The patch is idempotent in the eager path.\n\nFixes https://github.com/pytorch/pytorch/issues/178845\n\nCo-authored-by: Claude'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178847](https://hud.pytorch.org/pr/178847)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178847/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178847/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :warning: 4 Awaiting Approval\nAs of commit d8e2ed109173b770b386a9aed1e73f328f35ae6c with merge base 66f18b92f7cf73fb0f24d1ec081a9ad65fbeaece (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774922840?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n<details open><summary><b>AWAITING APPROVAL</b> - The following workflows need approval before CI can run:</summary><p>\n\n* [Auto Request Review](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779025827) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779025827))\n* [BC Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779025839) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779025839))\n* [Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779026186) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779026186))\n* [pull](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779026137) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779026137))\n</p></details>\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->', '@pytorchbot label ""topic: not user facing""']",2026-03-31 13:33:04
pytorch/pytorch,178847,with_readme,"ERROR: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}","[{'sha': 'd8e2ed109173b770b386a9aed1e73f328f35ae6c', 'message': 'inductor: fix cpp_wrapper backward failing with CudaKernelParamCache assertion\n\nWhen torch.compile(options={""cpp_wrapper"": True}) is used with training,\nbackward graphs are compiled lazily after compile_fx() returns.  By that\ntime the config.patch({""cpp_wrapper"": True}) context applied in compile_fx\nhas already exited, so compile_fx_backward skips get_cpp_wrapper_config()\nand leaves store_cubin=False.  With store_cubin=False the cubin is never\nwritten to CudaKernelParamCache, and DeferredTritonCallWrapper.generate()\nthen hits:\n\n    AssertionError: CudaKernelParamCache not populated for\n    triton_poi_fused_native_layer_norm_native_layer_norm_backward_1\n\nFix: apply get_cpp_wrapper_config() inside compile_fx_inner whenever the\ncpp_wrapper kwarg is True.  This guarantees store_cubin=True and\nautotune_at_compile_time are set for every cpp_wrapper compile regardless\nof whether it runs eagerly (inside compile_fx\'s context) or lazily (after\nit exits).  The patch is idempotent in the eager path.\n\nFixes https://github.com/pytorch/pytorch/issues/178845\n\nCo-authored-by: Claude'}]","['<!-- drci-comment-start -->\n\n## :link: Helpful Links\n### :test_tube: See artifacts and rendered test results at [hud.pytorch.org/pr/178847](https://hud.pytorch.org/pr/178847)\n* :page_facing_up: Preview [Python docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178847/index.html)\n* :page_facing_up: Preview [C++ docs built from this PR](https://docs-preview.pytorch.org/pytorch/pytorch/178847/cppdocs/index.html)\n* :question: Need help or want to give feedback on the CI? Visit the [bot commands wiki](https://github.com/pytorch/pytorch/wiki/Bot-commands)\n\nNote: Links to docs will display an error until the docs builds have been completed.\n\n\n## :warning: 4 Awaiting Approval\nAs of commit d8e2ed109173b770b386a9aed1e73f328f35ae6c with merge base 66f18b92f7cf73fb0f24d1ec081a9ad65fbeaece (<sub><sub><img alt=""image"" width=70 src=""https://img.shields.io/date/1774922840?label=&color=FFFFFF&style=flat-square""></sub></sub>):\n<details open><summary><b>AWAITING APPROVAL</b> - The following workflows need approval before CI can run:</summary><p>\n\n* [Auto Request Review](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779025827) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779025827))\n* [BC Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779025839) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779025839))\n* [Lint](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779026186) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779026186))\n* [pull](https://hud.pytorch.org/pr/pytorch/pytorch/178847#23779026137) ([gh](https://github.com/pytorch/pytorch/actions/runs/23779026137))\n</p></details>\n\n\nThis comment was automatically generated by Dr. CI and updates every 15 minutes.\n<!-- drci-comment-end -->', '<!-- check-labels-comment-start -->\n# This PR needs a `release notes:` label\nIf your changes are user facing and intended to be a part of release notes, please use a label starting with `release notes:`.\n\nIf not, please add the `topic: not user facing` label.\n\nTo add a label, you can comment to pytorchbot, for example\n`@pytorchbot label ""topic: not user facing""`\n\nFor more information, see\nhttps://github.com/pytorch/pytorch/wiki/PyTorch-AutoLabel-Bot#why-categorize-for-release-notes-and-how-does-it-work.\n\n<!-- check-labels-comment-end -->', '@pytorchbot label ""topic: not user facing""']",2026-03-31 13:33:06
